"count","city","type","type1","type2","type3","type4"
817,"Cologne","Grün","5",,,
279,"Cologne","GBFL","11",,,
210,"Cologne","W","0","W",,
167,"Cologne","GE","3","GE",,
94,"Cologne","Wasser","8",,,
89,"Cologne","M","2","M",,
79,"Cologne","SO","17","SO",,
56,"Cologne","Versorg","9",,,
54,"Cologne","GI","4","GI",,
44,"Cologne","MI","16","MI",,
44,"Cologne","Landwi","6",,,
41,"Cologne","WB","1","WB",,
40,"Cologne","Bahn","12",,,
20,"Cologne","Wald","7",,,
18,"Cologne","MK","15","MK",,
9,"Cologne","SO","17","SO*",,
8,"Cologne","S","10","S",,
6,"Cologne","NS","13",,,
3,"Cologne","Grün","22",,,"Golf"
1,"Cologne","W","0",,,
1,"Cologne","Grün","12",,,
1,"Cologne","Wald spezial","23",,,"Militärischer Bereich"
1,"Cologne","GE","3","GE",,"Berichtigung erforderlich"
1,"Cologne","San","21","SAN",,
1,"Cologne","S","10","S",,"Veranstaltungen"
1,"Cologne","Grün","5",,,"Golf"
1,"Cologne","S","10","S*",,
1,"Cologne","WEA","20",,,
1,"Cologne","Flug","14",,,
1,"Cologne","SO","17","SO",,"Theater"
1,"Cologne","W","19","W",,
1,"Cologne","Verkehr","13",,,
1,"Cologne","GrünSpezial","22",,,"Stellplätze"
1,"Cologne","SO","17","S",,
