"count","city","type"
557,"Hamburg","Wohnbauflächen"
475,"Hamburg","Grünflächen"
217,"Hamburg","Wasserflächen"
216,"Hamburg","Gewerbliche Bauflächen*"
194,"Hamburg","Sonstige Hauptverkehrstraßen*"
160,"Hamburg","Gemischte Bauflächen"
147,"Hamburg","Verkehrfläche/Autobahnen oder autobahnähnliche Straßen*"
129,"Hamburg","Bauflächen mit Dorf- oder Wohngebietscharakter"
122,"Hamburg","Flächen für die Landwirtschaft"
98,"Hamburg","Wald"
94,"Hamburg","Flächen für den Gemeinbedarf"
90,"Hamburg","Gemischte Bauflächen, deren Charakter als Dienstleistungszentren für die Wohnbevölkerung und für die Wirtschaft durch besondere Festsetzungen gesichert werden soll"
79,"Hamburg","Naturbestimmte Flächen"
74,"Hamburg","Flächen für Bahnanlagen*"
70,"Hamburg","Hafen*"
41,"Hamburg","Flächen für Versorgungsanlagen oder die Verwertung oder Beseitugung von Abwasser und festen Abfallstoffen*"
30,"Hamburg","Grünflächen (Friedhof)"
14,"Hamburg","Wohnbauflächen, deren parkartiger Charakter durch besondere Festsetzungen gesichert werden soll"
9,"Hamburg","Sonderbauflächen"
5,"Hamburg","Flächen für Gemeinbedarf, geringfügig bebaut"
4,"Hamburg","In Aussicht genommene Umgrenzung der Flächen für den Luftverkehr"
2,"Hamburg","Dorfgebiete"
1,"Hamburg","Grünflächen "
1,"Hamburg","Flächen für den Luftverkehr"
1,"Hamburg","Fläche für Aufschüttungen"
