"count","highway"
284622,
39696,"unclassified"
1,"piste"
215117,"footway"
7352,"motorway"
1663,"proposed"
7,"abandoned"
161,"bus_stop"
130,"raceway"
12,"access"
5279,"motorway_link"
23558,"steps"
1347,"bridleway"
3155,"pedestrian"
16589,"cycleway"
1102,"trunk_link"
12200,"living_street"
99057,"path"
179962,"residential"
7,"via_ferrata"
1,"razed"
36,"no"
1,"emergency_bay"
351,"road"
527,"corridor"
3,"ramp"
13,"rest_area"
1509,"construction"
1,"disused"
1,"yes"
2,"fixme"
19256,"primary"
37893,"secondary"
206932,"track"
16,"historic"
2,"escalator"
2,"access_ramp"
30048,"tertiary"
1447,"trunk"
480,"tertiary_link"
1212,"secondary_link"
4,"none"
2173,"primary_link"
17,"traffic_island"
1,"planned"
574,"platform"
8,"services"
1,"crossing"
223,"elevator"
2,"escape"
1,"ferry"
242707,"service"
